Sample name,Sequence count
L4S137,18787
L4S63,17167
L4S112,16265
L1S8,12386
L2S240,11986
L1S57,11750
L1S105,11340
L1S208,11335
L6S93,11270
L2S175,10691
L1S76,10100
L6S20,9775
L1S140,9736
L6S68,9554
L2S382,9300
L2S155,9261
L1S281,8904
L2S222,8386
L1S257,8216
L2S204,7297
L2S357,6253
L2S309,3835
L5S104,3460
L5S222,3390
L5S203,3037
L5S174,2792
L5S240,2665
L5S155,2491
L3S294,2317
L3S378,2146
L3S360,2084
L3S242,2055
L3S313,1994
L3S341,1853
