Sample name,Sequence count
DRR163084,222868
DRR163079,169839
DRR163077,154085
DRR163076,145312
DRR163082,144937
DRR163081,141276
DRR163073,135586
DRR163072,125858
DRR163083,120823
DRR163078,119868
DRR163080,118216
DRR163069,114375
DRR163075,108435
DRR163071,108338
DRR163074,100023
DRR163068,86933
DRR163070,80786
