Feature ID	Taxon	Confidence
#q2:types	categorical	categorical
4b5eeb300368260019c1fbc7a3c718fc	Unassigned	0.6120145052321628
d29fe3c70564fc0f69f2c03e0d1e5561	Unassigned	0.5842291844509537
fe30ff0f71a38a39cf1717ec2be3a2fc	k__Bacteria	0.7982259115545792
868528ca947bc57b69ffdf83e6b73bae	Unassigned	0.5819734046641518
1d2e5f3444ca750c85302ceee2473331	k__Bacteria	0.7507660103678068
154709e160e8cada6bfb21115acc80f5	Unassigned	0.5739838421973201
0305a4993ecf2d8ef4149fdfc7592603	k__Bacteria	0.7245524223005604
cb2fe0146e2fbcb101050edb996a0ee2	Unassigned	0.7122367344662217
997056ba80681bbbdd5d09aa591eadc0	k__Bacteria	0.8887793270707417
9079bfebcce01d4b5c758067b1208c31	Unassigned	0.6945346008729728
3c9c437f27aca05f8db167cd080ff1ec	Unassigned	0.5723863961727467
bfbed36e63b69fec4627424163d20118	k__Bacteria	0.7978756780880842
90d32ffe026535b392c0bad850f213c4	k__Bacteria	0.9054486696800028
d86ef5d6394f5dbeb945f39aa25e7426	k__Bacteria	0.826732795884649
ab4ef4399912b0507d8d1187e874684d	k__Bacteria	0.8279105476402528
a049763053c277b16c2a318f41eb23b4	Unassigned	0.7334922960185968
699071a4a7ce68918e4cd93a61275ecd	Unassigned	0.3078083899449161
cdd14cce4ec44b3235923652b71e947e	k__Bacteria	0.7612287684597825
7e598ad34909a3fb8ff1623f1ede11a6	k__Bacteria	0.8176410267959183
b44621e5c80607cdfacbf7a81e1cbe41	Unassigned	0.7354657572265901
e8e6b7fc969005938de8ac7ffb94f17c	k__Bacteria	0.8873523320216086
535696cecf56f03d3401d7d6dbe66d7b	k__Bacteria	0.8434876923314016
44ff26d8105cf822417b4b0c4eb27c02	k__Bacteria	0.7472182875157869
f352c1f1efecf483511c2270aabd0ae6	k__Bacteria	0.7232538800468549
9f718b8f66b79c3de80546ca9a54539c	k__Bacteria	0.7233313917383728
fd86856409fe6433d719558a30910515	Unassigned	0.37430387442897617
909755d7142ea53c7f61c97c3586f26c	Unassigned	0.6720753380832017
ad41fe8f8be5b01c96549309937e3b14	Unassigned	0.660073135006612
0160e14a78b18b903618f11bc732746e	k__Bacteria	0.9125777305696225
fcd4f95c05b868060121ff709085bf21	Unassigned	0.43287132898719216
047b7fb62a5e9d2711e639ae1cb1519a	k__Bacteria	0.7179839204769582
57b34afdff2e84fb9b0befd219edcb38	k__Bacteria	0.901888630745416
ab6b063ed43d8cb3008e157a0a305c47	k__Bacteria	0.8608959881900019
d2613a43f4ed1dda8a673e7fb251ebef	k__Bacteria	0.8569256971887967
e31b5affbe5e23b79a8619589f3b6620	Unassigned	0.661500505091579
e7c8b8c8fced8eead4b767bffe6dd544	k__Bacteria	0.8492482634202898
b1e22f094d8c64fb56dbacf680dab8c9	k__Bacteria	0.8387679021908847
67e23140639733766b7e127f50221289	k__Bacteria	0.9218880168563864
7dd9c9124ec3f118a6cef1f0d422c011	k__Bacteria	0.8529268247608727
01e0b7ac306895be84179f2715af269b	k__Bacteria	0.9429162286331967
500d6b485cef4c52aad211d6d6e6dbc7	k__Bacteria	0.8079240291255142
1685b25b43eb070cd7655de8c2d8c0a4	k__Bacteria	0.7954974430554623
d1d750ce3b00503c204516d27ca0d3b0	k__Bacteria	0.819489447198639
db793caa585e078770021a7979ae8ea2	k__Bacteria	0.8142378256719132
f35ce9c514e1398308f5f84ed50b260f	Unassigned	0.7098492098025366
ee0fb26fca3afb05e0b288d6fcab899e	k__Bacteria	0.7838261562280168
b685f8246fb6fad0fd91574c444b8f51	Unassigned	0.7191764993331862
ebe0e9790089ad4f40151cb4a3231a8f	Unassigned	0.6795485167443702
fba3d9b3872ff9021d66434323fb9565	k__Bacteria	0.7264064105335672
636c27859c1ac0a7994ca8ed145d03fe	k__Bacteria	0.7690793861749667
0a69950e803a5d9e7166c450e44f43cf	k__Bacteria	0.8126591815924308
79e9e337b10e2d298bb1b3bde946782d	Unassigned	0.6587536402002543
