sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-782_iter-1,depth-782_iter-2,depth-782_iter-3,depth-782_iter-4,depth-782_iter-5,depth-782_iter-6,depth-782_iter-7,depth-782_iter-8,depth-782_iter-9,depth-782_iter-10,depth-1564_iter-1,depth-1564_iter-2,depth-1564_iter-3,depth-1564_iter-4,depth-1564_iter-5,depth-1564_iter-6,depth-1564_iter-7,depth-1564_iter-8,depth-1564_iter-9,depth-1564_iter-10,depth-2345_iter-1,depth-2345_iter-2,depth-2345_iter-3,depth-2345_iter-4,depth-2345_iter-5,depth-2345_iter-6,depth-2345_iter-7,depth-2345_iter-8,depth-2345_iter-9,depth-2345_iter-10,depth-3127_iter-1,depth-3127_iter-2,depth-3127_iter-3,depth-3127_iter-4,depth-3127_iter-5,depth-3127_iter-6,depth-3127_iter-7,depth-3127_iter-8,depth-3127_iter-9,depth-3127_iter-10,depth-3908_iter-1,depth-3908_iter-2,depth-3908_iter-3,depth-3908_iter-4,depth-3908_iter-5,depth-3908_iter-6,depth-3908_iter-7,depth-3908_iter-8,depth-3908_iter-9,depth-3908_iter-10,depth-4690_iter-1,depth-4690_iter-2,depth-4690_iter-3,depth-4690_iter-4,depth-4690_iter-5,depth-4690_iter-6,depth-4690_iter-7,depth-4690_iter-8,depth-4690_iter-9,depth-4690_iter-10,depth-5471_iter-1,depth-5471_iter-2,depth-5471_iter-3,depth-5471_iter-4,depth-5471_iter-5,depth-5471_iter-6,depth-5471_iter-7,depth-5471_iter-8,depth-5471_iter-9,depth-5471_iter-10,depth-6253_iter-1,depth-6253_iter-2,depth-6253_iter-3,depth-6253_iter-4,depth-6253_iter-5,depth-6253_iter-6,depth-6253_iter-7,depth-6253_iter-8,depth-6253_iter-9,depth-6253_iter-10,depth-7035_iter-1,depth-7035_iter-2,depth-7035_iter-3,depth-7035_iter-4,depth-7035_iter-5,depth-7035_iter-6,depth-7035_iter-7,depth-7035_iter-8,depth-7035_iter-9,depth-7035_iter-10
L1S105,1,1,1,1,1,1,1,1,1,1,54,48,50,50,50,49,52,52,53,49,58,55,57,58,58,55,58,59,56,55,62,61,63,63,61,60,62,60,62,61,62,62,63,62,61,62,62,61,63,61,63,63,62,63,61,62,62,63,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
L1S140,1,1,1,1,1,1,1,1,1,1,53,56,57,49,58,58,53,58,55,56,63,64,62,62,62,59,63,63,60,64,64,65,64,65,65,65,62,63,65,64,65,64,65,64,65,64,65,65,65,64,65,64,65,64,65,65,65,63,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
L1S208,1,1,1,1,1,1,1,1,1,1,73,68,68,74,70,66,71,72,76,71,82,81,81,83,79,82,79,79,75,78,82,78,82,84,83,83,83,85,83,84,83,83,83,84,84,83,84,84,84,82,85,84,85,85,85,85,84,85,84,84,84,83,84,85,85,84,85,84,84,85,85,85,85,85,85,84,84,85,85,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
L1S57,1,1,1,1,1,1,1,1,1,1,61,56,61,59,66,60,60,57,59,59,65,68,66,64,65,67,66,69,68,65,68,70,66,69,70,69,69,70,69,69,69,70,70,70,70,70,69,71,70,69,70,70,71,70,70,71,71,71,71,70,70,71,71,71,70,71,71,71,70,71,71,71,71,71,71,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
L1S76,1,1,1,1,1,1,1,1,1,1,54,49,54,45,51,50,51,49,50,47,56,57,53,59,56,57,55,59,56,57,60,60,59,60,57,61,58,60,60,59,61,61,61,61,61,61,61,60,61,59,61,61,62,60,62,62,62,62,61,60,62,61,62,62,61,61,61,62,62,62,62,62,62,62,62,62,61,62,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
L1S8,1,1,1,1,1,1,1,1,1,1,35,34,37,37,35,39,39,37,37,37,40,41,42,42,41,41,41,41,42,41,44,40,43,42,44,41,43,44,43,43,44,44,44,42,43,43,44,41,43,43,43,44,44,44,43,43,44,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
